['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['world began howl'],"Then the moon was darkened without a cloud , and there was darkness in the sky for a time , and all the dogs in the world began to howl .",,
['drew curtains presently'],"When the moon shone again , the princess rose and put out the two white lights , and drew the curtains ; and presently she went to bed .",,
['king does clever'],"`` It is clever ; everything the king does is clever , and he is so kind that I daresay he does not mean any harm .",,
['play poor ricardo'],But it seems a cruel trick to play on poor Ricardo .,,
['watch ll girl'],"However , Jaqueline is on the watch , and I 'll show them a girl can do more than people think , '' -- as , indeed , she could .",,
['princess fell sleep'],"After meditating in this way , the princess fell sleep , and did not waken till her maid came to call her .",,
['royal highness floor'],"`` Oh !your Royal Highness , what 's this on the floor ? ''",,
['silver lying carpet'],"`` Ever so many -- four , five , six , seven -- little shining drops of silver lying on the carpet , as if they had melted and fallen there ! ''",,
['carpet said princess'],`` They have not hurt the carpet ? ''said the princess .,,
['oh dear queen'],`` Oh dear !the queen wo n't be pleased at all .,,
['chemical experiment trying'],It was a little chemical experiment I was trying last night . '',,
['seven drops enchanted'],But she knew very well that she must have dropped seven drops of the enchanted water .,,
['royal highness carpet'],"`` No , your Royal Highness , the carpet is not harmed , '' said Rosina ; `` only your Royal Highness should do these things in the laboratory .",,
['right said princess'],"`` You are quite right , '' said the princess ; `` but as there is no harm done , we 'll say nothing about it this time .",,
['rosina silver drops'],"And , Rosina , you may keep the silver drops for yourself . ''",,
['true better wiser'],"`` Your Royal Highness is always very kind , '' said Rosina , which was true ; but how much better and wiser it is not to begin to deceive !",,
['far carried jaqueline'],"We never know how far we may be carried , and so Jaqueline found out .",,
['breakfast king great'],"For when she went down to breakfast , there was the king in a great state of excitement , for him .",,
['extraordinary said majesty'],"`` It 's most extraordinary , '' said his Majesty .",,
['gone bed happened'],"No , you had gone to bed before it happened .",,
['balcony observed carefully'],"But I was taking a walk in the moonlight , on the balcony , and I observed it carefully . ''",,
['queen pouring tea'],"`` Observed what , my dear ? ''asked the queen , who was pouring out the tea .",,
['dog king remarked'],"Late as usual , you young dog ! ''the king remarked as Ricardo entered the room .",,
['sir said dick'],"`` See what , sir ? ''said Dick .",,
['asleep hours think'],"`` Oh , you were asleep hours before , now I think of it !",,
['unpredicted eclipse moon'],"But it was the most extraordinary thing , an unpredicted eclipse of the moon !",,
['jaqueline sat later'],"You must have noticed it , Jaqueline ; you sat up later .",,
['caused affair magic'],"`` No ; I mean yes , '' murmured poor Jaqueline , who of course had caused the whole affair by her magic arts , but who had forgotten , in the excitement of the moment , that an eclipse of the moon , especially if entirely unexpected , is likely to attract very general attention .",,
['king kind fibbing'],"Jaqueline could not bear to tell a fib , especially to a king who had been so kind to her ; besides , fibbing would not alter the facts .",,
['did admitted blushing'],"`` Yes , I did see it , '' she admitted , blushing .",,
['whispered said majesty'],"`` Not a word about it whispered anywhere , '' said his Majesty .",,
['extraordinary thing saw'],"It is the most extraordinary thing I ever saw , and I 've seen a good many . ''",,
['astronomers duffers said'],"`` The astronomers must be duffers , '' said Prince Ricardo .",,
['science sort dreary'],`` I never thought there was much in physical science of any sort ; most dreary stuff .,,
['earth goes round'],"Why , they say the earth goes round the sun , whereas any fool can see it is just the other way on . ''",,
['prigio struck aghast'],"King Prigio was struck aghast by these sentiments in the mouth of his son and heir , the hope of Pantouflia .",,
['king say reply'],But what was the king to say in reply ?,,
['astronomers pantouflia conceived'],"The astronomers of Pantouflia , who conceived that they knew a great deal , had certainly been taken by surprise this time .",,
['moon written volumes'],"Indeed , they have not yet satisfactorily explained this eclipse of the moon , though they have written volumes about it .",,
['sun exclaimed majesty'],"`` Why , it may be the sun next ! ''exclaimed his Majesty .",,
['laws gravitation askew'],The very laws of gravitation themselves may go askew ! '',,
['butler william queen'],"At this moment the butler , William , who had been in the queen 's family when she was a girl , entered , and announced : `` Some of the royal tradesmen , by appointment , to see your Majesty . ''",,
['went joined tailors'],"So the king , who had scarcely eaten any breakfast , much to the annoyance of the queen , who was not agitated by eclipses , went out and joined the tailors and the rest of them .",,
['drank cups coffee'],"He ate cold pastry , and poached eggs , and ham , and rolls , and raspberry jam , and hot cakes ; and he drank two cups of coffee .",,
['tradesmen attended orders'],Meanwhile the king had joined the tradesmen who attended by his orders .,,
['met royal study'],"They were all met in the royal study , where the king made them a most splendid bow , and requested them to be seated .",,
['presence king observed'],"But they declined to sit in his sacred presence , and the king observed that , in that case he must stand up .",,
['request entirely silent'],"`` I have invited you here , gentlemen , '' he said , `` on a matter of merely private importance , but I must request that you will be entirely silent as to the nature of your duties .",,
['work instance sure'],"It is difficult , I know , not to talk about one 's work , but in this instance I am sure you will oblige me . ''",,
['majesty command said'],"`` Your Majesty has only to command , '' said Herr Schnipp .",,
['monarchs neighbouring kingdoms'],"`` There have been monarchs , in neighbouring kingdoms , who would have cut off all our heads after we had done a bit of secret business ; but the merest word of your Majesty is law to your loving subjects . ''",,
['prigio really liked'],"The other merchants murmured assent , for King Prigio was really liked by his people .",,
['good tempered polite'],He was always good-tempered and polite .,,
['went war anybody'],He never went to war with anybody .,,
['scarcely taxes speak'],"He spent most of the royal income on public objects , and of course there were scarcely any taxes to speak of .",,
['making everybody school'],"Moreover , he had abolished what is called compulsory education , or making everybody go to school whether he likes it or not ; a most mischievous and tyrannical measure !",,
['king worth teaching'],"`` A fellow who ca n't teach himself to read , '' said the king , `` is not worth teaching . ''",,
['fond queen subjects'],"For all these reasons , and because they were so fond of the queen , his subjects were ready to do anything in reason for King Prigio .",,
['bowing deep blushing'],"Only one tradesman , bowing very deep and blushing very much , said : `` Your Majesty , will you hear me for one moment ? ''",,
['pleasure herr schmidt'],"`` For an hour , with pleasure , Herr Schmidt , '' said the monarch .",,
['blood ready shed'],"`` It is an untradesman-like and an unusual thing to decline an order ; and if your Majesty asked for my heart 's blood , I am ready to shed it , not to speak of anything in the line of my business -- namely , boot and shoe making .",,
['secret wife fairly'],"But keep a secret from my wife , I fairly own to your Majesty that I can not . ''",,
['schmidt went knees'],Herr Schmidt went down on his knees and wept .,,
['confession amiable weakness'],"`` A more honourable and chivalrous confession of an amiable weakness , if it is to be called a weakness , I never heard .",,
['true honour prince'],"Sir , you have been true to your honour and your prince , in face of what few men can bear , the chance of ridicule .",,
['herr schmidt confession'],"There is no one here , I hope , but respects and will keep the secret of Herr Schmidt 's confession ? ''",,
['shopkeepers scarcely refrain'],The assembled shopkeepers could scarcely refrain from tears .,,
['vowed kept dark'],"`` Long live King Prigio the Good ! ''they exclaimed , and vowed that everything should be kept dark .",,
['swordmaker rest bachelors'],"`` Indeed , sire , '' said the swordmaker , `` all the rest of us are bachelors . ''",,
['worthy succeed fathers'],"`` That is none the worse for my purpose gentlemen , '' said his Majesty ; `` but I trust that you will not long deprive me of sons and subjects worthy to succeed to such fathers .",,
['herr schmidt kindly'],"And now , if Herr Schmidt will kindly find his way to the buttery , where refreshments are ready , I shall have the pleasure of conducting you to the scene of your labours . ''",,
['room deserted palace'],"Thus speaking , the king , with another magnificent bow , led the way upstairs to a little turret-room , in a deserted part of the palace .",,
['bidding tradesmen enter'],"Bidding the tradesmen enter , he showed them a large collection of miscellaneous things : an old cap or two , a pair of boots of a sort long out of fashion , an old broadsword , a shabby old Persian rug , an ivory spy - glass , and other articles .",,
['fairy presents given'],"These were , in fact , the fairy presents , which had been given to the king at his christening , and by aid of which -LRB- and his natural acuteness -RRB- he had , in his youth , succeeded in many remarkable adventures .",,
['caps wishing cap'],The caps were the Wishing Cap and the Cap of Darkness .,,
['carpet carried owner'],The rug was the famous carpet which carried its owner through the air wherever he wished to go .,,
['sword sword sharpness'],The sword was the Sword of Sharpness .,,
['ivory glass showed'],"The ivory glass showed you anyone you wanted to see , however far off .",,
['stole ogre 1697'],"The boots were the Seven-league Boots , which Hop-o ' - my-Thumb stole from the Ogre about 1697 .",,
['objects useful celebrated'],"There were other valuable objects , but these were the most useful and celebrated .",,
['did tell tradesmen'],Of course the king did not tell the tradesmen what they were .,,
['gentlemen said majesty'],"`` Now , gentlemen , '' said his Majesty , `` you see these old things .",,
['provide objects exactly'],"For reasons which I must ask you to excuse me for keeping to myself , I wish you to provide me with objects exactly and precisely similar to these , with all the look of age . ''",,
['tradesmen examined objects'],"The tradesmen examined the objects , each choosing that in his own line of business .",,
['sword sire said'],"`` As to the sword , sire , '' said the cutler , `` it is an Andrea Ferrara , a fine old blade .",,
['lucky accident happen'],"By a lucky accident , I happen to have one at home in a small collection of ancient weapons , exactly like it .",,
['evening shall majesty'],This evening it shall be at your Majesty 's disposal . '',,
['till business finished'],"`` Perhaps , Herr Schnitzler , you will kindly write an order for it , as I wish no one of you to leave the palace , if you can conveniently stay , till your business is finished . ''",,
['majesty says cutler'],"`` With pleasure , your Majesty , '' says the cutler .",,
['said upholsterer persian'],"`` As to the old rug , '' said the upholsterer , `` I have a Persian one quite identical with it at home , at your Majesty 's service . ''",,
['herr schnitzler cutler'],"`` Then you can do like Herr Schnitzler , '' who was the cutler .",,
['bankrupt theatrical stock'],"`` And I , '' said the hatter , `` have two old caps just like these , part of a bankrupt theatrical stock . ''",,
['fortunate said king'],"`` We are most fortunate , '' said the king .",,
['boots come think'],"`` The boots , now I come to think of it , are unimportant , at least for the present .",,
['borrow pair theatre'],Perhaps we can borrow a pair from the theatre . '',,
['afraid said king'],"`` As for the glass , '' said the optician , `` if your Majesty will allow me to take it home with me -- '' `` I am afraid I can not part with it , '' said the king ; `` but that , too , is unimportant , or not very pressing . ''",,
['order luncheon shopkeepers'],"Then he called for a servant , to order luncheon for the shopkeepers , and paper for them to write their orders on .",,
['old palace bells'],"But no one was within hearing , and in that very old part of the palace there were no bells .",,
['run downstairs said'],"`` Just pardon me for an instant , while I run downstairs , '' said his Majesty ; `` and , it seems a strange thing to ask , but may I advise you not to sit down on that carpet ?",,
['afraid sit wish'],"In fact , he was afraid that someone might sit down on it , and wish he was somewhere else , and be carried away , as was the nature of the carpet .",,
['william stairs came'],"King Prigio was not absent a minute , for he met William on the stairs ; but when he came back , there was not one single person in the turret-room !",,
['cried king rushing'],"`` Where on earth are they ? ''cried the king , rushing through all the rooms in that part of the castle .",,
['optician swordmaker upholsterer'],"He shouted for them , and looked everywhere ; but there was not a trace of tailor , hatter , optician , swordmaker , upholsterer .",,
['gate saw sentinels'],"The king hastened to a window over the gate , and saw the sentinels on duty .",,
['round looked saluted'],"And the sentinels turned round , looked up , and saluted .",,
['sire answered soldiers'],"`` No one , sire , '' answered the soldiers .",,
['hurried turret room'],"The king , who began to guess what had happened , hurried back to the turret-room .",,
['tradesmen parcels arms'],There were all the tradesmen with parcels under their arms .,,
['said majesty severely'],"`` What means this , gentlemen ? ''said his Majesty , severely .",,
['reason did leave'],`` For what reason did you leave the room without my permission ? '',,
['knelt humbly imploring'],"They all knelt down , humbly imploring his compassion .",,
['donkeys said king'],"`` Get up , you donkeys ! ''said the king , forgetting his politeness .",,
['sire believe scarcely'],"The hatter came forward , and said : `` Sire , you will not believe me ; indeed , I can scarcely believe it myself ! ''",,
['ca said swordmaker'],"`` Nor none of us ca n't , '' said the swordmaker .",,
['home brought articles'],"`` We have been home , and brought the articles .",,
['orders executed punctuality'],"All orders executed with punctuality and dispatch , '' he added , quoting his own advertisement without thinking of it .",,
['swordmaker took exhibited'],"On this the swordmaker took out and exhibited the Andrea Ferrara blade , which was exactly like the Sword of Sharpness .",,
['tell magical carpet'],"The upholsterer undid his parcel , and there was a Persian rug , which no one could tell from the magical carpet .",,
['fumbling string parcel'],"The hatter was fumbling with the string of his parcel , when he suddenly remembered , what the king in his astonishment had not noticed , that he had a cap on himself .",,
['cap understood affair'],"He pulled it off in a hurry , and the king at once saw that it was his Wishing Cap , and understood all about the affair .",,
['friends home wares'],"The hatter , in his absence , had tried on the Wishing Cap , and had wished that he himself and his friends were all at home and back again with their wares at the palace .",,
['wished happened course'],"And what he wished happened , of course , as was natural .",,
['saw talk business'],"In a moment the king saw how much talk this business would produce in the country , and he decided on the best way to stop it .",,
['shops wished remember'],"Seizing the Wishing Cap , he put it on , wished all the tradesmen , including the shoemaker , back in the town at their shops , and also wished that none of them should remember anything about the whole affair .",,
['moment turret room'],In a moment he was alone in the turret-room .,,
['shopkeepers kind idea'],"As for the shopkeepers , they had a kind of idea that they had dreamed something odd ; but , as it went no further , of course they did not talk about it , and nobody was any the wiser .",,
['owl said king'],`` Owl that I am ! ''said King Prigio to himself .,,
['sham fairy things'],`` I might have better wished for a complete set of sham fairy things which would not work .,,
['trouble habit using'],"It would have saved a great deal of trouble ; but I am so much out of the habit of using the cap , that I never thought of it .",,
['cap darkness carried'],"Then , putting on the Cap of Darkness , that nobody might see him , he carried all the real fairy articles away , except the Seven-league Boots , to his own room , where he locked them up , leaving in their place the sham Wishing Cap , the sham Cap of Darkness , the sham Sword of Sharpness , and the carpet which was not a magic carpet at all .",,
['expedition confiding fairy'],"His idea was , of course , that Ricardo would start on an expedition confiding in his fairy things , and he would find that they did not act .",,
['cleverness courage scrape'],Then he would be left to his own cleverness and courage to get him out of the scrape .,,
['learning minding book'],"That would teach him , thought the king , to depend on himself , and to set a proper value on cleverness and learning , and minding his book .",,
['things forbidden ricardo'],"Of course he might have locked the things up , and forbidden Ricardo to touch them , but that might have seemed harsh .",,
['giants magicians monsters'],"And , as you may easily imagine , with all the powers at his command , the king fancied he could easily rescue Ricardo from any very serious danger at the hands of giants or magicians or monsters .",,
['older wiser people'],"He only wanted to give him a fright or two , and make him respect the judgment of older and wiser people than himself .",,
['means distinguishing adventures'],"Perhaps he ought not to be praised too highly for this , because , in fact , he saw no means of distinguishing himself by adventures just at that time .",,
['turret sweep horizon'],"Every morning he would climb the turret and sweep the horizon , and even much beyond the horizon , with the ivory spy-glass .",,
['human kind princesses'],"But look as he would , he saw no monsters preying on human-kind anywhere , nor princesses in distress .",,
['hearted careless lad'],"To be sure he saw plenty of poor people in distress , and , being a good-hearted , though careless , lad , Dick would occasionally fly off with the Purse of Fortunatus in his pocket , and give them as much money as they needed -- it cost him nothing .",,
['kind adventure enjoyed'],But this was not the kind of adventure which he enjoyed .,,
['took curious plan'],"One day the Princess Jaqueline took a curious plan of showing Ricardo how little interest , after all , there is in performing the most wonderful exploits without any real difficulty or danger .",,
['fishing jaqueline sculling'],"They were drifting before a light breeze on a hill lake ; Ricardo was fishing , and Jaqueline was sculling a stroke now and then , just to keep the boat right with the wind .",,
['sport suddenly trout'],"Ricardo had very bad sport , when suddenly the trout began to rise all over the lake .",,
['excited stumbled boat'],"Dick got excited , and stumbled about the boat from stern to bow , tripping over Jaqueline 's feet , and nearly upsetting the vessel in his hurry to throw his flies over every trout he saw feeding .",,
['bother cried ricardo'],"`` Oh , bother them ! ''cried Ricardo .",,
['little black feeding'],`` I ca n't find a fly in my book in the least like that little black one they are feeding on ! '',,
['nearly crying vexation'],"He tried half-a-dozen different fly-hooks , but all to no purpose ; he lost his temper , got his tackle entangled in Jaqueline 's hair and then in the landing-net ; and , though such a big boy , he was nearly crying with vexation .",,
['patience disentangled casting'],"The Princess Jaqueline , with great pains and patience , disentangled the casting line , first from her hair , which Ricardo was anxious to cut -LRB- the great stupid oaf , -- her pretty hair ! -RRB-then from the landing-net ; but Dick had grown sulky .",,
['said fly suit'],"`` It 's no use , '' he said ; `` I have not a fly that will suit .",,
['tin rising trout'],"Let 's go home , '' and he threw a tin can at a rising trout .",,
['dick said jaqueline'],"`` Now , Dick , '' said Jaqueline , `` you know I can help you .",,
['did learn magic'],I did not learn magic for nothing .,,
['fly end line'],"Just you look the other way for a minute or two , and you will find the right fly at the end of your line . ''",,
['right hook cast'],"Dick turned his head away -LRB- it is not proper to look on at magical arts -RRB- , and then in a moment , saw the right hook on his cast ; but Jaqueline was not in the boat .",,
['turned artificial fly'],"She had turned herself into an artificial fly -LRB- a small black gnat -RRB- , and Dick might set to his sport again .",,
['trump girl said'],"`` What a trump that girl is , '' he said aloud .",,
['clever began casting'],"`` Clever , too ! ''and he began casting .",,
['trout cast great'],"He got a trout every cast , great big ones , over a pound , and soon he had a basketful .",,
['began feel bored'],But he began to feel rather bored .,,
['taking said silly'],"`` There 's not much fun taking them , '' he said , `` when they are so silly . ''",,
['noticed fly cast'],"At that very moment he noticed that the fly was off his cast , and Jaqueline was sitting at the oars .",,
['ricardo said right'],"`` You see , Ricardo , '' she said , `` I was right after all .",,
['sport easy certain'],There is not much pleasure in sport that is easy and certain .,,
['moral dragon killing'],"Now , apply this moral to dragon-killing with magic instruments .",,
['obliged defend oneself'],"It may be useful when one is obliged to defend oneself , but surely a prince ought not to give his whole time to nothing else ! ''",,
['grumbled preaching jack'],"Dick had no answer ready , so he only grumbled : `` You 're always preaching at me , Jack ; everybody always is .",,
['born just preached'],I seem to have been born just to be preached at . '',,
['does grow tedious'],Some people are ; and it does grow rather tedious in the long run .,,
['ricardo stuck books'],"But perhaps what Jaqueline said may have made some impression on Ricardo , for he stuck to his books for weeks , and was got into decimal fractions and Euclid .",,
['course pleased king'],"All this , of course , pleased the king very much , and he began to entertain hopes of Ricardo 's becoming a wise and learned prince , and a credit to his illustrious family .",,
['jaqueline fell trouble'],"Things were not always to go smoothly , far from it ; and it was poor Jaqueline who fell into trouble next .",,
['ready lecture dick'],"She had been very ready to lecture Dick , as we saw , and took a good deal of credit to herself for his steadiness .",,
['meet jaqueline maid'],"But one day King Prigio happened to meet Jaqueline 's maid , Rosina , on the stairs ; and as Rosina was a pretty girl , and the king was always kind to his dependents , he stopped to have a chat with her .",,
['chain rosina neck'],"`` Why , Rosina , what a pretty little silver cross you are wearing , '' he said , and he lifted a curious ornament which hung from a chain on Rosina 's neck .his Majesty asked , and Rosina , all in a flutter , took it off and gave if to him .",,
['ask got rosina'],"May I ask you where you got this , Rosina ? ''",,
['lcb said king'],-LCB- `` H 'm ! ''said the king .,,
['fear getting jaqueline'],"On this occasion she was anxious to think of something better , for fear of getting Jaqueline into a scrape about the chemical experiment in her bedroom .",,
['princess gave drops'],"But Rosina was fluttered , as we said , by the royal kindness , and she could think of nothing but to curtsy , and say : `` Please , your Majesty , the princess gave me the drops . ''",,
['interesting said king'],"`` Very interesting , '' said the king .",,
['white moon shining'],`` There is a little white moon shining in each of them !,,
['wonder shine dark'],I wonder if they shine in the dark ? '',,
['mops brooms shut'],"He opened the door of a cupboard which had no windows , where the housemaid kept her mops and brooms , and shut himself in .",,
['lighted sheen seven'],"Yes , there was no mistake ; the darkness was quite lighted up with the sheen of the seven little moons in the silver .",,
['king looked grave'],The king looked rather grave .,,
['rosina like examined'],"`` If you can trust me with this cross till to-morrow , Rosina , I should like to have it examined and analysed .",,
['alarmed consequences mistress'],"Of course Rosina could only curtsy , but she was very much alarmed about the consequences to her mistress .",,
['jaqueline come study'],"After luncheon , the king asked Jaqueline to come into his study , as he often did , to help him with his letters .",,
['agrippa good book'],"When they had sat down his Majesty said : `` My dear Jaqueline , I never interfere with your pursuits , but I almost doubt whether Cornelius Agrippa is a good book for a very young lady to read .",,
['taught ordinary magical'],"The Fairy Paribanou , I am sure , taught you nothing beyond the ordinary magical accomplishments suited to your rank ; but there are a great many things in the Cornelius which I think you should not study till you are older and wiser . ''",,
['jaqueline feeling uncomfortable'],"`` What does your Majesty mean ? ''said poor Jaqueline , feeling very uncomfortable ; for the king had never lectured her before .",,
['taking silver cross'],"`` Why , '' said his Majesty , taking the silver cross out of his pocket , `` did you not give this to Rosina ? ''",,
['sire did drops'],"`` Yes , sire , I did give her the drops .",,
['glad frank jaqueline'],"I am glad you are frank , Jaqueline .",,
['drops ordinary silver'],"And you know , of course , that the drops are not ordinary silver ?",,
['water drinking moon'],"They are moon silver , and that can only be got in one way , so far as I know , at least -- when one spills the water when he , or she , is drinking the moon .",,
['doing person secret'],"Now , there is only one book which tells how that can be done , and there is only one reason for doing it ; namely , to find out what is some other person 's secret .",,
['shall ask secret'],"I shall not ask you whose secret you wanted to find out , but I must request you never to do such a thing again without consulting me .",,
['king enemies plotting'],"You can have no reason for it , such as a great king might have whose enemies are plotting against his country . ''",,
['tell cried jaqueline'],"`` Oh , sire , I will tell you everything ! ''cried Jaqueline .",,
['information think approve'],I am sure you will make no use of your information which you think I should not approve of .,,
['thing eclipse moon'],But there is another thing -- that eclipse of the moon !,,
['honourable fair astronomers'],"Oh , Jaqueline , was it honourable , or fair to the astronomers and men of science , to say nothing about it ?",,
['european reputations seriously'],Their European reputations are seriously injured . '',,
['said majesty comforting'],"`` Never mind , '' said his Majesty , comforting her .",,
['science left believe'],"`` There is no great harm done yet , and perhaps they would not believe you if you did explain ; but just think , if some people ceased to believe in Science , what would they have left to believe in ?",,
['young course expected'],"But you are young , of course , and can not be expected to think of everything . ''",,
['thought wept jaqueline'],"`` I never thought about it at all , '' wept Jaqueline . ''",,
['king quoting poet'],"` Evil is wrought by want of thought , ' '' said the king , quoting the poet .",,
['tears think better'],"`` Now run away , dry your tears , and I think you had better bring me that book , and I 'll put it back in one of the locked-up shelves .",,
['later older shall'],"Later , when you are older , we shall see about it . ''",,
['princess flew room'],"The princess flew to her room , and returned with her book .",,
['majesty meant drive'],"And the king kissed her , and told her to go and see if her Majesty meant to take a drive .",,
['necessary said princess'],"`` I 'll never deceive him again , never ... unless it is quite necessary , '' said the princess to herself .",,
['easy deceive king'],"`` Indeed , it is not so easy to deceive the king .",,
['studious young man'],"In fact , King Prigio had been very studious when a young man , before he came to the throne .",,
['child thought king'],`` Poor child ! ''thought the king .,,
['trying fortune wondering'],"`` No doubt she was trying her fortune , wondering if Ricardo cares for her a little .",,
['tell poor child'],"Of course I could not let her tell me that , poor child ! ''",,
['mistaken seldom happened'],"In this guess , as we know , his Majesty was mistaken , which seldom happened to him .",,
['wonder king went'],`` I wonder who she is ? ''the king went on speaking to himself .,,
['wild birds just'],"`` That great booby , Ricardo , saved her from wild birds , which were just going to eat her .",,
['fastened mountain question'],"She was fastened to a mountain top , but where ?that 's the question .",,
['ricardo notion geography'],Ricardo never has any notion of geography .,,
['noticed sea atlantic'],"It was across the sea , he noticed that ; but which sea , -- Atlantic , Pacific , the Black Sea , the Caspian , the Sea of Marmora , the Red Sea , the Indian Ocean , the German Ocean , the Mediterranean ?",,
['gold sun breast'],Her ornaments were very peculiar ; there was a broad gold sun on her breast .,,
['sacrificed wild birds'],"She said she was being sacrificed to wild birds -LRB- which her people worshipped -RRB- , because there was some famine , or war , or trouble in the country .",,
['said daughter sun'],"She said she was a Daughter of the Sun ; but that , of course , is absurd , unless -- By Jove !",,
['ambassador waiting interview'],"I believe I have it , '' said the king , and he went into the royal library and was looking for some old Spanish book , when his secretary came and said that the Russian Ambassador was waiting for an interview with his Majesty .",,
['dismal old muscovite'],`` Dismal old Muscovite ! ''sighed the king .,,
['monarch moment private'],`` A monarch has not a moment to himself for his private studies .,,
['thou born private'],"Ah , Prigio !why wert thou not born to a private station ?",,
['count snoreonski audience'],"But Duty before everything , '' and wreathing his royal countenance in smiles , his Majesty prepared to give Count Snoreonski an audience .",,
['polish invasion russia'],It was all about the attitude of Pantouflia in the event of a Polish invasion of Russia .,,
['reassured count snoreonski'],"The king reassured Count Snoreonski , affirming that Pantouflia , while deeply regretting the disturbed relations between two States in whose welfare she was deeply interested , would ever preserve an attitude of benevolent neutrality , unless her own interests were threatened .",,
['august mistress czarina'],"`` I may give your message to my august mistress , the Czarina ? ''said the ambassador .",,
['time magnificent diamond'],"`` By all means , adding an expression of my tender interest in her Majesty 's health and welfare , '' said the king , presenting the count at the same time with a magnificent diamond snuffbox containing his portrait .",,
['stupid man happy'],"The old count was affected to tears , and withdrew , while King Prigio said : `` I have not lost a day ; I have made an amiable but very stupid man happy . ''",,
['sitting royal study'],"King Prigio had gone to a distant part of his dominions , on business of importance , and the young people were sitting in the royal study .",,
['envelope custom sealed'],"The letter , which Ricardo handed to Jaqueline , was written on a great broad sheet of paper , folded up without any envelope , as was the custom then , and was sealed with a huge seal in red wax .",,
['arms ricardo said'],"`` I do n't know the arms , '' Ricardo said .",,
['ricardo neglect heraldry'],"`` Oh , Ricardo , how you do neglect your Heraldry !",,
['green stocking despair'],Old Green Stocking is in despair over your ignorance . '',,
['green stocking chief'],"Now Green Stocking was the chief herald of Pantouflia , just like Blue Mantle in England .",,
['great ignorant dick'],"`` Why , these are the Royal Arms of England , you great ignorant Dick ! ''",,
['post mark roma'],"-- and the post-mark is ` Roma ' : that 's Rome in some lingo , I expect .",,
['romae died rome'],Mortuus est Romae -- ` He died at Rome . ',,
['ricardo breaking seal'],"Let 's see what the fellow says , anyhow , '' added Ricardo , breaking the seal .",,
['prins dear cousin'],"`` He begins , ` Prins and dear Cousin ! '",,
['jaqueline spells prins'],"I say , Jaqueline , he spells it ` Prins ; ' now it is P-R-I-N-C-E .",,
['dick said jaqueline'],"`` People in glass houses should not throw stones , Dick , '' said Jaqueline .",,
['charles said ricardo'],"`` He signs himself ` Charles , P. W. , ' '' said Ricardo , looking at the end .",,
['does charles initials'],"Why does he not put ` P. W. Charles , ' if these are his initials ?",,
['look long letter'],"Look here , it 's rather a long letter ; you might read it to us , Jack ! ''",,
['began nice smells'],"The princess took the epistle and began : `` How nice it smells , all scented !",,
['paper gilt edged'],"The paper is gilt-edged , too . ''",,
['beggar said ricardo'],"`` Luxurious beggar , whoever he is , '' said Ricardo .",,
['oh grammar rrb'],"`` Well , he says : ` Prins and dear Cousin , -- You and me ' -LRB- oh , what grammar ! -RRB-",,
['birthday better ackwainted'],"` are much the same age , I being fifteen next birthday , and we should be better ackwainted .",,
['sord dreded monsters'],"All the wurld has herd of the fame of Prins Ricardo , whose name is feerd , and his sord dreded , wherever there are Monsters and Tirants .",,
['prins informed situation'],"Prins , you may be less well informed about my situation .",,
['dragguns nun fiar'],"I have not killed any Dragguns , there being nun of them here ; but I have been under fiar , at Gaeta . '",,
['heard said ricardo'],"`` Never heard of it , '' said Ricardo .",,
['italy besieged lately'],"`` Well , it is in Italy , and it was besieged lately .",,
['disgrace blud bruce'],"He goes on : ` and I am told that I did not misbehave myself , nor disgrace the blud of Bruce . ' ''",,
['bruce said dick'],"`` I 've heard of Robert Bruce , '' said Dick ; `` he was the man who did not kill the spider , but he cracked the head of Sir Harry Bohun with one whack of his axe .",,
['interesting said dick'],"`` That 's getting more interesting , '' said Dick .",,
['wish father war'],`` I wish my father would go to war with somebody .,,
['sword sharpness make'],With the Sword of Sharpness I 'd make the enemy whistle !,,
['valler renouned europe'],"` As a prins in distress , I apeal to your valler , so renouned in Europe .",,
['king gems worst'],"I am kept out of my own ; my royal father , King Gems , ' -- well , this is the worst spelling I ever saw in my life !",,
['usurper elector hannover'],"He means King James , -- ` my royal father , King Gems , being druv into exile by a crewl Usurper , the Elector of Hannover .",,
['king gems old'],"King Gems is old , and likes a quiat life ; but I am determined to make an effort , if I go alone , and Europe shall here of Prince Charles .",,
['implore asist prins'],"-- of your royal Highness 's courage and sordsmanship , I throw myself at your feet , and implore you to asist a prins in distres .",,
['let sords drawn'],"Let our sords be drawn together in the caus of freedom and an outraged country , my own . '' '",,
['means prince wales'],"I remain , '' ` Prins and dear Cuzen , '' ` CHARLES , P. W. ' `` P. W. means Prince of Wales , '' added Jaqueline .",,
['lives rome father'],"`` He is turned out of England you know , and lives at Rome with his father . ''",,
['said prince ricardo'],"`` I like that chap , '' said Prince Ricardo .",,
['mistakes like spirit'],"`` He does not spell very well , as you say , but I sometimes make mistakes myself ; and I like his spirit .",,
['sword rusts scabbard'],"I 've been looking out for an adventure ; but the big game is getting shy , and my sword rusts in his scabbard .",,
['jack ve idea'],"I 'll tell you what , Jack -- I 've an idea !",,
['elector ll send'],"I 'll put him on the throne of his fathers ; it 's as easy as shelling peas : and as for that other fellow , the Elector , I 'll send him back to Hanover , wherever that may be , and he can go on electing , and polling his vote in peace and quietness , at home .",,
